Nama Dinas,Risk ID,KPI,Target,Pencapaian KPI YTD,Pencapaian KPI Jan,Pencapaian KPI Feb,Pencapaian KPI Mar,Pencapaian KPI Apr,Pencapaian KPI Mei,Pencapaian KPI Jun,Pencapaian KPI Jul,Pencapaian KPI Aug,Pencapaian KPI Sep,Pencapaian KPI Oct,Pencapaian KPI Nov,Pencapaian KPI Dec,Risiko,Rencana Pengendalian,PIC/ UIC,Ukuran Keberhasilan,Target Waktu Penyelesaian,Assigned to,Progress,Jan % Pencapaian Indikator Keberhasilan,Jan Justifikasi Status Penyelesaian,Jan Catatan Risk Analyst,Feb % Pencapaian Indikator Keberhasilan,Feb Justifikasi Status Penyelesaian,Feb Catatan Risk Analyst,Mar % Justifikasi Status Penyelesaian,Mar Justifikasi Status Penyelesaian,Mar Catatan Risk Analyst,Apr % Pencapaian Indikator Keberhasilan,Apr Justifikasi Status Penyelesaian,May % Pencapaian Status,May Justifikasi Status Penyelesaian,May Catatan Risk ANalyst,Jun % Pencapaian Indikator Keberhasilan,Jun Justifikasi Status Penyelesaian,Jun Catatan Risk Analyst,Jul % Pencapaian Indikator Keberhasilan,Jul Justifikasi Status Penyelesaian,Jul Catatan Risk Analyst,Aug % Pencapaian Indikator Keberhasilan,Aug Justifikasi Status Penyelesaian,Aug Catatan Risk Analyst,Sep % Pencapaian Indikator Keberhasilan,Sep Justifikasi Status Penyelesaian,Sep Catatan Risk Analyst,Oct % Pencapaian Indikator Keberhasilan,Oct Justifikasi Status Penyelesaian,Oct Catatan Risk Analyst,Nov % Pencapaian Indikator Keberhasilan,Nov Justifikasi Status Penyelesaian,Nov Catatan Risk Analyst,Dec % Pencapaian Indikator Keberhasilan,Dec Justifikasi Status Penyelesaian,Dec Catatan Risk Analyst,Submission Month
"TI","8","I15 Continuous Improvement","100%","N/A",,,,,,,,,,,,,"1. Terbatasnya budget pengembangan tools audit 2. Keterbatasan kemampuan dalam pengembangan tools audit 3. Tidak adanya spare waktu untuk melakukan pengembangan tools audit 4. Perbaikan proses tidak efisien dan efektif","1.Pengesahan prosedur bisnis TI  dan allign dengan SDA tools monitoring
2.SDA tools monitoring audit terimplementasi","Deddy Fezantino","1. Prosedur Bisnis TI disetujui dan di implementasikan
2. SDA tools audit  berjalan aktif (Target semester done efektif)
3. Early warning system tools berjalan efektif (Target semester done efektif)","Semesterly","Carolina Rearini/531960","In progress","80%","1. Prosedur Bisnis TI disetujui dan di implementasikan(Nov 2022); done
2. SDA tools audit  berjalan aktif : done tetapi belum berjalan(Target semester done efektif)
3. Early warning system tools berjalan efektif : belum berjalan on progress(Target semester done efektif)",,"80%","1. Prosedur Bisnis TI disetujui dan di implementasikan(Nov 2022); done
2. SDA tools audit  berjalan aktif : done tetapi belum berjalan
3. Early warning system tools berjalan efektif : belum berjalan on progress",,"80%","1. Prosedur Bisnis TI disetujui dan di implementasikan(Nov 2022); done
2. SDA tools audit  berjalan aktif : SDA done tetapi belum berjalan aktif
3. Early warning system tools berjalan efektif : belum berjalan on progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TI","125","F1.1  Budget Realization","100%","90%",,,,,,,,,,,,," Belum dialokasikan keseluruhan pelaksanaan sertifikasi QIA- budget personil baru ","1. Monitoring berkala realisasi budget dan koordinasi dengan Fungsi pengelola Anggaran
2. Realokasi budget dengan tetap mempertahankan Realisasi Audit Plan 2023
","Deddy Fezantino","1. Report of analysis budget realization terlaksan 
2.  Realokasi budget sesuai kebutuhan","Monthly","Carolina Rearini/531960","Not started","100%","1. Report of analysis budget realization terlaksana(monthly)
2. Realokasi budget sesuai kebutuhan(tidak ada realokasi)",,"90%","1. Report of analysis budget realization terlaksana(monthly)
2. Realokasi budget sesuai kebutuhan(tidak ada realokasi)",,"90%","1. Report of analysis budget realization terlaksana(monthly)
2. Realokasi budget sesuai kebutuhan(tidak ada realokasi)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TE","45","Customer Satisfaction Index","100","100","100","100","100",,,,,,,,,,"Pelanggan tidak puas dengan kinerja engineer dalam mendeliver pekerjaan","Melanjutkan pengendalian yang sudah ada","Zuriati","1. PRM dikontrol dan dilaporkan ke Customer
2. Pertemuan Triwulanan dengan Customer rutin dilakukan
3. Peningkatan proses bisnis, produk, atau layanan berhasil dilakukan dan mencapai target","Semester","Dianika Fachrur Harrys Sarwono","In progress","100%","Customer puas terhadap kinerja dan pelayanan engineer",,"100%","Customer puas terhadap kinerja dan pelayanan engineer",,"100%","Customer puas terhadap kinerja dan pelayanan engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desember"
"TE","44","Customer SLA Fulfillment","100","75.94","76.251","75.940",,,,,,,,,,,"SLA tidak terpenuhi terkait produk pelayanan dan jasa dengan customer","1. Pantau langkah-langkah yang diambil di portal SRI secara berkesinambungan
2. Berkolaborasi dengan unit perencanaan, AOG, MCC / MOD, FMC / TOC untuk menyelesaikan masalah operasional
3. Saling mengingatkan tentang awareness saat melakukan perawatan
4. FTM lebih aktif bertanya bila ada kendala operasional dan menindaklanjuti dengan respon cepat untuk diselesaikan problem tersebut
5. Melanjutkan pengendalian efektif yang sudah ada
6. Membangun komunikasi yang lebih interaktif dan komunikatif dengan pelanggan dan lessor
7. Efisiensi waktu dengan membuat laporan yang terintegrasi dengan kondisi aktual yang dapat diakses kapan saja dan di mana saja","Zuriati","1. Reliability Control dan TIA  telah dilaksanakan untuk fleet GA dan QG
2. Tindak lanjut terkait TDAM Issue
3. RCP berjalan dengan baik sehingga rekomendasi dapat diberikan
4. Seluruh Manufacturer Bulletin/Publication (FTD/TFU) telah dievaluasi dan dilaporkan dalam laporan PRM bulanan
5. Penilaian dan rekomendasi terkait Engine & APU  Healthy selalu tersedia
6. Program terkait masalah Dispatch Reliability (DR) tersedia dan dapat diimplementasikan
7. Implementasi TIA dapat terkontrol 
8. Timeframe terkait jangka waktu suatu proyek tersedia dan jelas TATnya
9. Milestone terkait suatu proyek dapat dikontrol","Bulanan","Dianika Fachrur Harrys Sarwono","In progress","80%","Pelayanan terkait produk dan jasa engineer kepada customer yang telah disepakati dapat terealisasikan dan customer puas dengan hasil evaluasi serta responsibility/action dari engineer",,"80%","Pelayanan terkait produk dan jasa engineer kepada customer yang telah disepakati dapat terealisasikan dan customer puas dengan hasil evaluasi serta responsibility/action dari engineer",,"80%","Pelayanan terkait produk dan jasa engineer kepada customer yang telah disepakati dapat terealisasikan dan customer puas dengan hasil evaluasi serta responsibility/action dari engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desember"
"TE","42","Data Quality Integrity","100","99","99","99","99",,,,,,,,,,"Konfigurasi pesawat antara sistem dan aktual tidak sesuai setelah proses maintenance pesawat (RTS)","1. Melanjutkan pengendalian yang sudah ada
2. Menyempurnakan tools monitoring DQI terkait Structure Gap agar lebih tepat sasaran","Zuriati","Tidak ada structure gap untuk pesawat GA dan QG","Bulanan","Dianika Fachrur Harrys Sarwono","In progress","100%","1. Konfigurasi pesawat antara sistem dan aktual sudah sesuai untuk pesawat Garuda, sehingga tidak menimbulkan Sgap post maintenance.
2. Konfigurasi pesawat antara sistem dan aktual banyak yang tidak sesuai untuk pesawat Citilink, sehingga menimbulkan Sgap post maintenance, hal ini dikarenakan:
- PPC tidak mensimulasikan remove/install jika ada pergantian komponen
- Rekan-rekan quality kurang memperhatikan dan tidak crosscheck kembali setelah maintenance
- Customer kurang concern terhadap hal ini dan bahkan ketika kami mengajukan inventory check sebagai corrective action sering ditolak karena keterbatasan TAT.",,"99%","1. Konfigurasi pesawat antara sistem dan aktual sudah sesuai untuk pesawat Garuda, sehingga tidak menimbulkan Sgap post maintenance.
2. Konfigurasi pesawat antara sistem dan aktual banyak yang tidak sesuai untuk pesawat Citilink, sehingga menimbulkan Sgap post maintenance, hal ini dikarenakan:
- PPC tidak mensimulasikan remove/install jika ada pergantian komponen
- Rekan-rekan quality kurang memperhatikan dan tidak crosscheck kembali setelah maintenance
- Customer kurang concern terhadap hal ini dan bahkan ketika kami mengajukan inventory check sebagai corrective action sering ditolak karena keterbatasan TAT.",,"99%","1. Konfigurasi pesawat antara sistem dan aktual sudah sesuai untuk pesawat Garuda, sehingga tidak menimbulkan Sgap post maintenance.
2. Konfigurasi pesawat antara sistem dan aktual banyak yang tidak sesuai untuk pesawat Citilink, sehingga menimbulkan Sgap post maintenance, hal ini dikarenakan:
- PPC tidak mensimulasikan remove/install jika ada pergantian komponen
- Rekan-rekan quality kurang memperhatikan dan tidak crosscheck kembali setelah maintenance
- Customer kurang concern terhadap hal ini dan bahkan ketika kami mengajukan inventory check sebagai corrective action sering ditolak karena keterbatasan TAT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desember"
"TE","43","Cost of Poor Quality ","100","100","100","100","100",,,,,,,,,,"Ketidakakuratan dokumen perintah kerja (Job Card) dalam menentukan kebutuhan material dan referensi kerja","1. Melanjutkan pengendalian yang sudah ada
2. Mentoring program kepada development engineer baru","Zuriati","Quality Control Engineering Product dan Services telah dikerjakan","Bulanan","Dianika Fachrur Harrys Sarwono","In progress","100%","Dokumen kerja dan referensi yang digunakan sesuai serta quality control terkait engineering product dan services telah dilakukan",,"100%","Dokumen kerja dan referensi yang digunakan sesuai serta quality control terkait engineering product dan services telah dilakukan",,"100%","Dokumen kerja dan referensi yang digunakan sesuai serta quality control terkait engineering product dan services telah dilakukan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desember"
"TE","40","Human Capital Readiness","100","100","100","100","100",,,,,,,,,,"Target pencapaian KPI Dinas tidak tercapai","1. Internal dan external rekrutmen
2. Dibentuk tim project untuk eskalasi kemampuan development engineer
3. Training untuk menambah knowledge dan experience engineer ","Zuriati","1. Man-power quantity terpenuhi
2. Man-power quality terpenuhi
3. Mentoring program dapat berjalan sesuai target","Semester","Dianika Fachrur Harrys Sarwono","In progress","100%","Mitigasi yang telah diimplementasikan telah berhasil menanggulangi kekurangan kebutuhan man power. Selain itu rekrutmen akan terus dilakukan hingga akhir tahun dengan menyesuaikan budget yang ada.",,"100%","Mitigasi yang telah diimplementasikan telah berhasil menanggulangi kekurangan kebutuhan man power. Selain itu rekrutmen akan terus dilakukan hingga akhir tahun dengan menyesuaikan budget yang ada.",,"100%","Mitigasi yang telah diimplementasikan telah berhasil menanggulangi kekurangan kebutuhan man power. Selain itu rekrutmen akan terus dilakukan hingga akhir tahun dengan menyesuaikan budget yang ada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desember"
"TA","31","Tax  and Custom Compliance","100","100",,,,,,,,,,,,,"Penurunan Revenue karena perusahaan menanggung biaya selisih perubahan tarif PPN Serta Dilakukan audit pajak setiap tahun","1. Amandemen kontrak
2. Melakukan ekualisasi perpajakan","Chairuddin","1. Kontrak diperbarui dan GMF tidak menanggung selisih perubahan tarif
2. Hasil audit pajak optimal","1 tahun setelah diajukannya restitusi pajak","Muhammad Ifroh Thobibul Qulub","In progress","100%","Evaluasi kontrak dilaksanakan dan audit pajak dilaksanakan dengan baik",,"100%","Evaluasi kontrak dilaksanakan dan audit pajak dilaksanakan dengan baik",,"100%","Evaluasi kontrak dilaksanakan dan audit pajak dilaksanakan dengan baik",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TA","32","Tax  anustom Compliance","100","100",,,,,,,,,,,,,"Terdapat PPh Badan yang harus dibayar walaupun sesuai Laporan Keuangan GMF mengalami kerugian Serta Kenaikan staff expense akibat dari naiknya employee tax expense","1. Mengupayakan ekuitas perusahaan menjadi positif kembali
2. Melakukan evaluasi atas pemberian benefit kepada pegawai","Chairuddin","1. Ekuitas perusahaan positif
2. Laju kenaikan employee staff expense dapat ditekan","Setelah diterbitkannya peraturan perpajakan tentang aturan","Muhammad Ifroh Thobibul Qulub","In progress","100%","Ekuitas perusahaan perlahan menunjukkan trend positif",,"100%","Ekuitas perusahaan perlahan menunjukkan trend positif",,"100%","Ekuitas perusahaan perlahan menunjukkan trend positif",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TA","34","Investment Planning & Control","100","100",,,,,,,,,,,,,"Data pendukung tidak akurat, lengkap dan terlambat diperoleh","Koordinasi dengan investment partner unit dan reminder, agar data dikirimkan dengan akurat, lengkap dan tepat waktu","Chairuddin","Sosialisasi aturan dan Koordinasi dengan PIC unit terlaksana","Monthly","Muhammad Ifroh Thobibul Qulub","In progress","100%","Control dan monitoring aset serta investasi telah dilaksanakan",,"100%","Control dan monitoring aset serta investasi telah dilaksanakan",,"100%","Control dan monitoring aset serta investasi telah dilaksanakan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF","KPI-TF-2023-215","Human Capital Readiness (HCR)",">=95%","92%","94%","92%","92%",,,,,,,,,,"Rencana kerja yang tidak tercapai","Continue existing control","Wayan Winten Adnyano,%23wayan.winten@gmf-aeroasia.co.id","Monthly Report, Meeting Taxonomy, Activity Plan","Monthly","Ressa Amelya","In progress","99%","Sudah melakukan taksonomi meeting secara berkala dan memantau status pelaksanaan rencana kegiatan.",,"97%","Sudah melakukan taksonomi meeting secara berkala dan memantau status pelaksanaan rencana kegiatan.","Monthly meeting sudah dilaksanakan berkala.","97%","Sudah melakukan taksonomi meeting secara berkala dan memantau status pelaksanaan rencana kegiatan. Pencapaian yang tertera masih menggunakan data bulan sebelumnya. Akan di update setelah diperoleh nilai aktual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF","KPI-TF-2023-208","Data Quality Integrity (DQI)","100%","80%","78%","80%","80%",,,,,,,,,,"Notifikasi dengan status SOD meningkat drastis","Controlling existing report","Wayan Winten Adnyano,%23wayan.winten@gmf-aeroasia.co.id","1. Status Postponed untuk Planning Item intensitasnya berkurang
2. DQI LDND, Close Revision, Close Order, Remove Install dan Techlog report tersedia","Monthly","Ressa Amelya","In progress","78%","Monthly download untuk notifikasi dengan status open dan monthly report untuk LDND, close revision, close order, remove install dan techlog status sudah di laksanakan.",,"80%","Monthly download untuk notifikasi dengan status open dan monthly report untuk LDND, close revision, close order, remove install dan techlog status sudah di laksanakan. Pencapaian meningkat 2% dibandingkan bulan sebelumnya.",,"80%","Monthly download untuk notifikasi dengan status open dan monthly report untuk LDND, close revision, close order, remove install dan techlog status sudah di laksanakan. Pencapaian yang tertera masih menggunakan data bulan sebelumnya. Akan di update setelah diperoleh nilai aktual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF","KPI-TF-2023-207","Data Quality Integrity (DQI)","100%","80%","78%","80%","80%",,,,,,,,,,"Structure gap material consume muncul setelah maintenance selesai dilaksanakan","Controlling existing report","Wayan Winten Adnyano,%23wayan.winten@gmf-aeroasia.co.id","Tidak ada structure gap untuk semua GA Group Fleet","Monthly","Ressa Amelya","In progress","78%","Daily dan monthly report untuk data structure gap sudah dikontrol.",,"80%","Daily dan monthly report untuk data structure gap sudah dikontrol. Pencapaian meningkat 2% dibandingkan bulan sebelumnya.",,"80%","Daily dan monthly report untuk data structure gap sudah dikontrol. Pencapaian yang tertera masih menggunakan data bulan sebelumnya. Akan di update setelah diperoleh nilai aktual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF","KPI-TF-2023-200","Inventory",">=90%","75%","86%","69%","69%",,,,,,,,,,"Unserviceable material yang diturunkan dari pesawat keberadaannya tidak diketahui / hilang","1. Secara rutin melalukan follow-up WTU, WTC dan WFR material.
2. TFC dan unit produksi TL melakukan pencatatan material robbing secara prosedural, dan segara melakukan re-install material robbing dari pesawat donor robbing","Wayan Winten Adnyano,%23wayan.winten@gmf-aeroasia.co.id","1. WTU-WTC-WTR terkontrol dan report tersedia.
2. Tidak ada pergerakan component dan penumpukan material di ruang PPC","Monthly","Ressa Amelya","In progress","95%","PIC dari TFP-4 melakukan survailance dan pencatatan material US di area PPC dan line Hangar 2. Namun Material WFR masih tinggi sehingga pencapaian KPI hanya 95%.",,"77%","PIC dari TFP-4 melakukan survailance dan pencatatan material US di area PPC dan line Hangar 2. Namun Material WTU/WTC dan WFR masih tinggi sehingga pencapaian KPI hanya 77%.",,"77%","Sudah secara rutin melakukan follow-up material WTU, WTC dan WFR. WTU, WTC dan WFR Report sudah tersedia. Pencapaian yang tertera masih menggunakan data bulan sebelumnya. Akan di update setelah diperoleh nilai aktual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TS","KPI-TS-2023-180","C1.2 Corporate Reputation Management",,,,,,,,,,,,,,,"Terjadinya penurunan layanan dalam Pengelolaan Komunikasi Perseroan;<br>","1. Melaksanakan pengukuran Employee Awareness & Feeback;
2. 'Optimalisasi pemberian pemahaman kepada karyawan dan management terhadap pentingnya informasi Perseroan diserap dan dipahami dengan cepat serta memberikan kebanggan terhadap setiap kebiajakn dan branding Perseroan;
3 Optimalisasi Media Outreach and Digital Trends;","Rian Fajar Isnaeni,%23rian.fajar@gmf-aeroasia.co.id","1. Hasil pengukuran tersedia dan sesuai target;
2. Media Outreach and Digital Trends terlaksana optimal;","M","Ika Edriantika","Not started",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
