Tahun,Unit,KPI,Risiko,Penyebab Risiko,Justifikasi Consequence ,Nilai Consequence Risiko Inheren,Nilai Likelihood Risiko Inheren,Skor Risiko Inheren,Level Risiko Inheren,Respon,Pengendalian Yang Sudah Ada,Rencana Pengendalian,Ukuran Keberhasilan,Target Waktu Penyelesaian,Accountable (A),Responsible (R),Consult (C),Inform (I),Nilai Consequence (Risiko Residu),Nilai Likelihood (Risiko Residu),Level Risiko Residu,Tanggal Disetujui,Risk Analyst,Risk Owner,Menyetujui,Mengetahui,Menyusun,Pencapaian Tujuan Tahunan,Tanggal Diketahui,Risk ID,Status Risiko,ID,Status Dokumen,Skor Risiko Residu,Top Risk,Risk Officer,Tanggal Registrasi,Approver
"2023","TI","L1.2 Organization Capital Readiness","1. Program kerja LCU tidak terlaksana/tercapai 2. Program AoC tidak terlaksana/tercapai 3. Program PDCA People terkait dengan Leadership tidak terlaksana/tercapai","1. Personil TI tidak melakukan aktivitas sharing session
2. TI tidak mengumpulkan Best Practice Docs, Cerita Pensiun, dan Inspirational Story
3. TI tidak memiliki program employee engagement dan enablement.
4. Personil TI tidak melakukan  review kebijakan bisnis

","1. Tidak ada peningkatan knowledge di TI
2. Visi, misi dan value perusahaan tidak dapat diterapkan oleh personil TI dalam lingkungan kerjanya.
3. Kurangnya engagement pegawai terhadap perusahaan","2","2","4","Low","Reduce","1. Memasukkan item Sharing session pada masing-masing IPP personil TI
2. Pengumpulan Best Practice Docs pada KM Index
3. Pembacaan Visi, Misi, Values perusahaan setiap briefing hari senin
4.Adanya reward and punishment untuk pelaksanaan program 5R/5S di TI
","1. Pengumpulan Cerita Pensiun untuk personil yang pensiun pada tahun berjalan
2. Program leadership talks setiap 2 bulan sekali
3. Program happy habit dilakukan 
4.Sharing knowledge ahlak oleh AOC perbulan","1. Pengumpulan Cerita Pensiun untuk personil yang pensiun pada tahun berjalan
2. Program leadership talks setiap 2 bulan sekali
3. Program happy habit dilakukan 
4.Sharing knowledge ahlak campaign oleh AOC/Leader persemester
5. Implemantasi reveiu prosedur bisnis dan instruksi kerja dinas TI 
","monthly","VP-TI","PDCA-People(TIC,TIA)","TH","DT","2","2","Low","3/16/2023","Dwi Wahyu Kartiko","Deddy Fezantino","Deddy Fezantino","Chairuddin",,,"3/21/2023",,"Open","13",,"4","Tidak","Carolina Rearini/531960",,
"2023","TD","I1.1  Governance, Risk, and Compliance","Tidak comply terhadap regulasi","Adanya ketidahtahuan Personil terhadap regulasi/prosedur","Finding dari authority (FCAR, NCR)","1","2","2","Low","Reduce","Mengontrol aktivitas agar tetap sesuai dengan koridor QSC, FCAR, dan GCG","- Melakukan review prosedur bisnis secara rutin oleh seluruh bidang
- pelaksanaan sharing session untuk sosialisasi ke karyawan internal TD","- Review prosedur bisnis terlaksana
- sharing session terlaksana setidaknya untuk sosialisasi 1 regulasi yg vital/terupdate ","Quarterly","VP TD","PDCA SAG & PDCA GCG","TS, TQ, TI","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","14",,"1","Tidak","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","I1.2 Asset Management","Asset investasi dinas TD tidak terutilisasi dengan maksimal","Asset investasi dinas TD tidak termonitor dengan baik","Terdapat aset yang tidak terutilisasi di dinas TD","3","3","9","High","Reduce","Monitoring utilisasi aset investasi","Monitoring utilisasi aset investasi","- Laporan monitoring utilisasi aset tersedia
- Aset dinas TD terutilisasi dengan baik","Monthly","VP TD","Investment Partner","TAM","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","15",,"1","Ya","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","I2.2 Continuous Improvement Program","Tidak terlaksananya Continuous Improvement Program","Adanya keterbatasan biaya, personil, dan waktu untuk merealisasikan Continuous Improvement Program","Berpotensi menghambat pekerjaan operasional di dinas TD","2","2","4","Low","Reduce","Menyusun timeframe dan activity plan untuk Continuous Improvement program unit","- Monitoring progress pelaksanaan Continuous improvement program
- Memastikan ketersediaan anggaran untuk realisasi Continuous Improvement Program","Progress pelaksanaan Continuous Improvement Program berjalan sesuai dengan target","Semesterly","VP TD","TDB, TDC, TDS, TDO, TDI","VP TD","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","16",,"1","Tidak","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","L1.1 Human Capital Readiness","Tidak terpenuhinya ketersediaan personnel dan kompetensinya sesuai dengan kebutuhan internal unit TD","Keterlambatan dalam pemenuhan dan training manpower","Dinas TD kekurangan personil dan aktivitas bisnis tidak dapat berjalan sesuai dengan target","1","2","2","Low","Reduce","- Melakukan koordinasi dengan dinas TH untuk menjaga jumlah manpower dinas TD
- Memonitor ketersediaan jadwal training dan menjadwalkan training personil dinas TD","- Melakukan koordinasi dengan dinas TH untuk menjaga jumlah manpower dinas TD
- Memonitor ketersediaan jadwal training dan menjadwalkan training personil dinas TD","- Jumlah manpower dinas TD tersedia sesuai dengan MPP
- Event training terlaksana dan diikuti oleh personil dinas TD","Monthly","VP TD","PDCA People & PDCA LCU","TH","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","17",,"1","Tidak","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","L2.1 Organizational Capital Readiness","Tidak terlaksananya program AOC internal unit","Kurangnya pemahaman personil internal unit atas program-program AoC","Rencana penanaman culture perusahaan tidak sesuai target","1","2","2","Low","Reduce","- Sosialisasi program AoC
- Reminder pelaksanaan program AoC","- Sosialisasi program AoC
- Monitoring pelaksanaan program AoC","- Sosialisasi program AoC terlaksana
- Laporan pelaksanaan program AoC tersedia
- Program AoC terlaksana sesuai timeframe","Monthly","VP TD","AoC TD","TH","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","18",,"1","Tidak","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TD","L3.1 Information Capital Readiness","Target Go-live program inisiatif Digital TD tidak tercapai","Keterbatasan biaya dan ketersediaan personil untuk pengembangan program inisiatif digital TD","Program digital inisiatif digital TD tidak terlaksana","1","2","2","Low","Reduce","Monitoring progress secara berkala","Monitoring progress implementasi digital inisiatif korporat secara bulanan","Laporan progress implementasi digital inisiatif korporat tersedia ","Monthly","VP TD","TDI","TD","TD","1","1","Low","3/17/2023","Brian Harfiansyah 580460","Fidiarta Andika","Fidiarta Andika","Chairuddin",,,"3/21/2023",,"Open","19",,"1","Tidak","Faza Yoshio Susanto",,"Fidiarta Andika"
"2023","TA","Financial Reporting & Source Availability SLA Fulfillment","Terjadi koreksi data pencapaian kinerja dari unit serta Terjadi koreksi data dari direksi","Terdapat adjustment dan/atau penyesuaian terhadap nilai dari dinas dan/atau Direksi.","Keterlambatan report yang dapat mempengaruhi score GCG corporate.","4","3","12","High","Reduce","Melakukan revisi terhadap laporan sesuai dengan data terbaru","1. Bersama dengan TP dan CBO membuat mekanisme revenue tracking, (comparing with as is condition based on RKAP)
2. Melalui TP dan CBO  untuk membuat rencana sales/ revenue plan yang lebih akurat. 
3. Akan dijalankan program accrual basis di TA, diharapkan dapat memperbaiki matching revenue dan cost yang akan dijalankan
4. Perlu adanya komitmen bersama TA dan management untuk alokasi impairment dan cost yang akan menjadi beban di setiap bulannya di 2022. TA akan mereminder ke TA untuk nilai dan posting cost dan impair setiap bulan.
","Report tersedia tepat waktu.","EOM + 10","SM TAM","Financial Analyst","TDS","All Unit","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","20",,"4","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","Source Availability","Risiko Source avaialable at purchase tidak tercapai","tidak ada yang bersedia menjadi vendor GMF karena kondisi keuangan perusahaan","Ketersediaan vendor dapat mempengaruhi progres pekerjaan maintenance","4","3","12","High","Reduce","NA","Manage vendor source availability","Vendor source available","Monthly","SM TAP","Financial Analyst","TD","All Unit","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","21",,"4","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","Approved Corporate Budget","Data pengajuan anggaran dan data pendukung yang disampaikan dinas tidak lengkap. serta Proses one on one yang membutuhkan waktu lama","Proses one on one dinas yang lama dan proses penentuan target revenue yang panjang.","Proses one on one mempengaruhi kinerja dinas, tetapi secara corporate tidak ada perubahan.","4","2","8","Medium","Reduce","1. Pengumpulan data diprioritaskan menggunakan system
2. Melakukan revisi terhadap pengajuan anggaran sesuai dengan data terbaru","Koordinasi dan proses one on one dijalankan sesuai timeline corporate.","Data terkumpul tepat pada waktunya","Q3","SM TAM","Financial Analyst","TD","All Unit","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","22",,"4","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","Service Level Index","Tingginya pengajuan permintaan dari unit yang tidak terprediksi dan bersamaan serta Dokumen pendukung tidak lengkap.","1. Unit-unit memiliki target penyelesaian yang sama
2. PIC unit tidak mengetahui ketentuan.","Target TAT tidak tercapai","3","3","9","Medium","Reduce","1. Pencatatan penerimaan dokumen
2. Koordinasi dengan PIC unit, agar melengkapi dokumen sesuai ketentuan","1. Menyampaikan timeline rencana pengajuan permintaan ke TY
2. Pengaturan urutan pemrosesan sesuai waktu dokumen diterima
3. Koordinasi dengan PIC unit, agar melengkapi dokumen sesuai ketentuan","1. Sesuai ke1. Timeline tersampaikan ke unit
2. Proses evaluasi dokumen sesuai dengan urutan tentuan/ kebutuhan dokumen
3. Dokumen pendukung lengkap","Sesuai ketentuan/ kebutuhan","VP TA","SM TAG","DF","BOD","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","23",,"4","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","ERM Effectiveness ","Data pendukung terlambat diperoleh","PIC unit tidak mengirimkan laporan yang disepakati","Laporan terlambat","3","3","9","High","Reduce","Koordinasi dengan PIC unit, agar data dikirimkan tepat waktu","menetapkan awal TAT sesuai dengan waktu dokumen dilengkapi","sosialisasi dan Koordinasi terlaksana","Monthly","VP TA","SM TAG","DF","BOD","2","2","Low","3/17/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","24",,"4","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","Compliance Index","Respon Corrective Action belum disampaikan","Kurangnya awareness terhadap hasil audit","Terdapat proses yang tidak comply dengan prosedur","3","2","6","Medium","Reduce","Menjalankan pekerjaan sesuai dengan prosedur yang ada","1. Menjalankan pekerjaan sesuai dengan prosedur yang ada
2. Melakukan evaluasi proses kerja sesuai dengan PB/IK yang berlaku setiap tahun","1. Finding audit diselesaikan tepat waktu
2. Evaluasi telah selesai dilakukan","Dec 2023","VP TA","All SM TA","VP TI","DF","3","1","Low","3/13/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/21/2023",,"Open","25",,"3","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","Asset Monitoring","Risiko report monitoring asset tidak tersedia","Activity plan serta data aset yang akan dimonitor tidak tersedia
activity plan tidak terlaksana","asset tidak termonitor dengan baik","4","2","8","Medium","Reduce","NA","1. Membuat data Asset
2 menyusun Activity plan
3. melakukan monitoring asset berdasarkan activity plan yang disusun","1. data asset tersedia
2. activity plan tersedia","Dec 2023","VP TA","SM TAM","TU & TM","DF","2","1","Low","3/13/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/17/2023",,"Open","26",,"2","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","On Time Invoicing Process","Risiko pembuatan invoice untuk project dan retail tidak sesuai dengan lead time","Pekerjaan Proyek:
- Paket: Invoice dibuat tidak sesuai Term of Payment
- NPPA: Invoice dibuat >3 hari dari diterimanya dokumen pendukung tagihan dari produksi

Pekerjaan retail: Invoice dibuat >3 hari dari diterimanya dokumen pendukung tagihan dari produksi","terjadinya keterlambatan cash in","5","4","20","Crisis","Reduce","Menjalankan pekerjaan sesuai dengan prosedur yang ada","Creating Invoice for Project & Retail in certain lead time","Invoice available in time for package & NPPA post production invoice","Dec 2023","SM TAR","All Staff TAR","VP TA","DF","3","1","Low","3/13/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/17/2023",,"Open","27",,"3","Ya","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","invoice Clearing","Risiko invoice tidak dapat dilakukan clearing ","Dokumen pendukung tidak lengkap serta tidak match antara actual dengan sistem","Pencatatan laporan keuangan dengan kondisi aktual dapat terjadi deviasi","3","4","12","High","Reduce","NA","1. melakukan koordinasi dengan unit terkait dalam melakukan invoice clearing SAP based
2. menerapkan Prosedur Bisnis terkait pengelolaan utang perusahaan","Invoice clearing match antara sistem dan aktual","Dec 2023","SM TAF","All Staff TAF","VP TA","DF","3","1","Low","3/13/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin","Chairuddin",,,"3/17/2023",,"Open","28",,"3","Tidak","Muhammad Ifroh Thobibul Qulub",,
"2023","TA","A/P A/R Transaction Readiness","Keterlambatan pencatatan AP AR","1. Nilai SO tidak sesuai dengan dokumen yang disetujui customer
2. Terjadi kendala pada sistem
3. Kelengkapan dokumen sebagai syarat pencatatan","1. Profit GMF tidak mencapai target
2. Keterlambatan pembayaran customer
3. Terjadi ketidak cocokan antara SOA Vendor dengan GMF","3","3","9","High","Reduce","1. Melakukan rekonsiliasi rutin dengan internal dan vendor
2. Aktif berkomunikasi dengan KPP, sosialisasi perubahan peraturan perpajakan kepada unit internal terkait","1. Optimasi penggunaan Online sistem dokumen pelengkap Invoice beserta trackingnya
2. Koordinasi dengan unit terkait untuk memastikan sistem dapat berjalan dengan baik","1. Penggunaan secara optimal online system yang sudah tersedia
2. Koordinasi melalui media komunikasi resmi perusahaan sudah dilaksanakan","Monthly","SM TAR","All Staff TAR","VP TA","DF","2","2","Low","3/13/2023","Brian Harfiansyah 580460","Chairuddin","Chairuddin",,,,,,"Open","29",,"4","Ya","Muhammad Ifroh Thobibul Qulub",,
